#label	HHS_region	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_display_name	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	biosample_acc	collected_by	collection_date	complete_fl	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	outbreak	sample_name	scientific_name	serovar	species_taxid	sra_center	sra_release_date	strain	sub_species	target_acc	target_creation_date	tax-id	wgs_acc_prefix	wgs_master_acc
PDT000008327.2|SAMEA2271917|GCA_000304375.1|Campylobacter jejuni subsp. jejuni NCTC 11168-BN148|jejuni||NCTC 11168-BN148|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000304375.1	AINO	Complete Genome	1641481	1641481	1	NULL	Generic	PRJEB175	SAMEA2271917	NULL	NULL	1	440038	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148	NULL	197	NULL	NULL	NCTC 11168-BN148	jejuni	PDT000008327.2	2012-10-09	1211776	NULL	NULL
PDT000008403.3|SAMN02604234|GCA_000302555.3|Campylobacter jejuni subsp. jejuni PT14|jejuni||PT14|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000302555.3	ASM30255v3	Complete Genome	1635301	1635301	1	NULL	Generic	PRJNA168989	SAMN02604234	NULL	NULL	1	1713538	NULL	NULL	NULL	NULL	NULL	NULL	CP003871	Campylobacter jejuni subsp. jejuni PT14	NULL	197	NULL	NULL	PT14	jejuni	PDT000008403.3	2015-03-30	1201032	NULL	NULL
PDT000009498.2|SAMN02429066|GCA_000254255.2|Campylobacter jejuni subsp. jejuni 129-258|||129-258|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254255.2	ASM25425v2	Contig	36525	1608162	102	Velvet v. 2009	Generic	PRJNA52847	SAMN02429066	NULL	NULL	1	436018	USA	bovine	NULL	NULL	NULL	NULL	AINY	Campylobacter jejuni subsp. jejuni 129-258	NULL	197	NULL	NULL	129-258	NULL	PDT000009498.2	2012-10-02	889213	AINY	AINY00000000.1
PDT000009499.2|SAMN02429005|GCA_000254275.2|Campylobacter jejuni subsp. jejuni 51494|||51494|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254275.2	ASM25427v2	Contig	30726	1803640	215	Velvet v. 2009	Generic	PRJNA52857	SAMN02429005	NULL	NULL	1	436038	USA	chicken	NULL	NULL	NULL	NULL	AINZ	Campylobacter jejuni subsp. jejuni 51494	NULL	197	NULL	NULL	51494	NULL	PDT000009499.2	2012-10-02	889216	AINZ	AINZ00000000.1
PDT000009500.2|SAMN02428944|GCA_000254295.2|Campylobacter jejuni subsp. jejuni LMG 23216|||LMG 23216|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254295.2	ASM25429v2	Contig	67187	1474288	121	Velvet v. 2009	Generic	PRJNA52903	SAMN02428944	NULL	NULL	1	436628	Belgium	chicken	NULL	broiler feces from chicken farm collected between 1998-2001	NULL	NULL	AIOA	Campylobacter jejuni subsp. jejuni LMG 23216	NULL	197	NULL	NULL	LMG 23216	NULL	PDT000009500.2	2012-10-02	889239	AIOA	AIOA00000000.1
PDT000009501.2|SAMN02429006|GCA_000254315.2|Campylobacter jejuni subsp. jejuni LMG 23218|||LMG 23218|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254315.2	ASM25431v2	Contig	65557	1678928	106	Velvet v. 2009	Generic	PRJNA52905	SAMN02429006	NULL	NULL	1	436648	Belgium	chicken	NULL	broiler feces from chicken farm collected between 1998-2001	NULL	NULL	AIOB	Campylobacter jejuni subsp. jejuni LMG 23218	NULL	197	NULL	NULL	LMG 23218	NULL	PDT000009501.2	2012-10-02	889240	AIOB	AIOB00000000.1
PDT000009502.2|SAMN02428945|GCA_000254335.2|Campylobacter jejuni subsp. jejuni LMG 23223|||LMG 23223|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254335.2	ASM25433v2	Contig	51589	1632500	105	Velvet v. 2009	Generic	PRJNA52907	SAMN02428945	NULL	NULL	1	436668	Belgium	chicken	NULL	broiler feces from chicken farm collected between 1998-2001	NULL	NULL	AIOC	Campylobacter jejuni subsp. jejuni LMG 23223	NULL	197	NULL	NULL	LMG 23223	NULL	PDT000009502.2	2012-10-02	889241	AIOC	AIOC00000000.1
PDT000009503.2|SAMN02429044|GCA_000254355.2|Campylobacter jejuni subsp. jejuni LMG 23263|||LMG 23263|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254355.2	ASM25435v2	Contig	30562	1744709	172	Velvet v. 2009	Generic	PRJNA52909	SAMN02429044	NULL	NULL	1	436688	Bosnia and Herzegovina	chicken	NULL	meat collected between 2001-2002	NULL	NULL	AIOD	Campylobacter jejuni subsp. jejuni LMG 23263	NULL	197	NULL	NULL	LMG 23263	NULL	PDT000009503.2	2012-10-02	889242	AIOD	AIOD00000000.1
PDT000009504.2|SAMN02429007|GCA_000254375.2|Campylobacter jejuni subsp. jejuni 60004|||60004|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254375.2	ASM25437v2	Contig	29239	1675414	143	Velvet v. 2009	Generic	PRJNA52859	SAMN02429007	NULL	NULL	1	436708	USA	chicken	NULL	NULL	NULL	NULL	AIOE	Campylobacter jejuni subsp. jejuni 60004	NULL	197	NULL	NULL	60004	NULL	PDT000009504.2	2012-10-02	889217	AIOE	AIOE00000000.1
PDT000009505.2|SAMN02429008|GCA_000254395.2|Campylobacter jejuni subsp. jejuni LMG 23264|||LMG 23264|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254395.2	ASM25439v2	Contig	43320	1720846	147	Velvet v. 2009	Generic	PRJNA52911	SAMN02429008	NULL	NULL	1	436728	Slovenia	Homo sapiens	NULL	collected between 2001-2002	NULL	NULL	AIOF	Campylobacter jejuni subsp. jejuni LMG 23264	NULL	197	NULL	NULL	LMG 23264	NULL	PDT000009505.2	2012-10-02	889243	AIOF	AIOF00000000.1
PDT000009506.2|SAMN02428961|GCA_000254415.2|Campylobacter jejuni subsp. jejuni LMG 23269|||LMG 23269|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254415.2	ASM25441v2	Contig	40722	1628395	124	Velvet v. 2009	Generic	PRJNA52913	SAMN02428961	NULL	NULL	1	436748	Belgium	chicken	NULL	water ditch of chicken farm between 1998-2001	NULL	NULL	AIOG	Campylobacter jejuni subsp. jejuni LMG 23269	NULL	197	NULL	NULL	LMG 23269	NULL	PDT000009506.2	2012-10-02	889244	AIOG	AIOG00000000.1
PDT000009507.2|SAMN02429009|GCA_000254435.2|Campylobacter jejuni subsp. jejuni 55037|||55037|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254435.2	ASM25443v2	Contig	31131	1589716	104	Velvet v. 2009	Generic	PRJNA52861	SAMN02429009	NULL	NULL	1	436768	USA	chicken	NULL	NULL	NULL	NULL	AIOH	Campylobacter jejuni subsp. jejuni 55037	NULL	197	NULL	NULL	55037	NULL	PDT000009507.2	2012-10-02	889218	AIOH	AIOH00000000.1
PDT000009508.2|SAMN02429010|GCA_000254455.2|Campylobacter jejuni subsp. jejuni LMG 9879|||LMG 9879|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254455.2	ASM25445v2	Contig	40808	1650812	129	Velvet v. 2009	Generic	PRJNA52915	SAMN02429010	NULL	NULL	1	436788	Canada: Ottawa	Homo sapiens	NULL	NULL	NULL	NULL	AIOI	Campylobacter jejuni subsp. jejuni LMG 9879	NULL	197	NULL	NULL	LMG 9879	NULL	PDT000009508.2	2012-10-02	889245	AIOI	AIOI00000000.1
PDT000009509.2|SAMN02429045|GCA_000254475.2|Campylobacter jejuni subsp. jejuni 86605|||86605|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254475.2	ASM25447v2	Contig	37748	1638403	120	Velvet v. 2009	Generic	PRJNA52863	SAMN02429045	NULL	NULL	1	436808	USA	chicken	NULL	NULL	NULL	NULL	AIOJ	Campylobacter jejuni subsp. jejuni 86605	NULL	197	NULL	NULL	86605	NULL	PDT000009509.2	2012-10-02	889219	AIOJ	AIOJ00000000.1
PDT000009510.2|SAMN02428946|GCA_000254495.2|Campylobacter jejuni subsp. jejuni LMG 23357|||LMG 23357|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254495.2	ASM25449v2	Contig	43734	1672858	126	Velvet v. 2009	Generic	PRJNA52917	SAMN02428946	NULL	2005-06	1	436828	Netherlands: Rijn bij Lobith	NULL	NULL	water	NULL	NULL	AIOK	Campylobacter jejuni subsp. jejuni LMG 23357	NULL	197	NULL	NULL	LMG 23357	NULL	PDT000009510.2	2012-10-02	889246	AIOK	AIOK00000000.1
PDT000009511.2|SAMN02428947|GCA_000254515.2|Campylobacter jejuni subsp. jejuni ATCC 33560|jejuni||ATCC 33560|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254515.2	ASM25451v2	Contig	24688	1712461	220	Velvet v. 2009	Generic	PRJNA52919	SAMN02428947	NULL	NULL	1	436848	Belgium: Brussels	bovine	NULL	feces before 1970	NULL	NULL	AIOL	Campylobacter jejuni subsp. jejuni ATCC 33560	NULL	197	NULL	NULL	ATCC 33560	jejuni	PDT000009511.2	2012-10-02	889247	AIOL	AIOL00000000.1
PDT000009512.2|SAMN02429011|GCA_000254535.2|Campylobacter jejuni subsp. jejuni LMG 9081|||LMG 9081|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254535.2	ASM25453v2	Contig	41364	1593841	108	Velvet v. 2009	Generic	PRJNA52921	SAMN02429011	NULL	NULL	1	436868	NULL	Homo sapiens	NULL	feces from 34 year old woman in South America before 1979	NULL	NULL	AIOM	Campylobacter jejuni subsp. jejuni LMG 9081	NULL	197	NULL	NULL	LMG 9081	NULL	PDT000009512.2	2012-10-02	889248	AIOM	AIOM00000000.1
PDT000009513.2|SAMN02429012|GCA_000254555.2|Campylobacter jejuni subsp. jejuni 53161|||53161|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254555.2	ASM25455v2	Contig	41737	1562744	123	Velvet v. 2009	Generic	PRJNA52865	SAMN02429012	NULL	NULL	1	436888	USA	chicken	NULL	NULL	NULL	NULL	AION	Campylobacter jejuni subsp. jejuni 53161	NULL	197	NULL	NULL	53161	NULL	PDT000009513.2	2012-10-02	889220	AION	AION00000000.1
PDT000009514.2|SAMN02428962|GCA_000254575.2|Campylobacter jejuni subsp. jejuni LMG 9217|jejuni||LMG 9217|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254575.2	ASM25457v2	Contig	38959	1653445	118	Velvet v. 2009	Generic	PRJNA52923	SAMN02428962	NULL	NULL	1	436908	Belgium	Homo sapiens	NULL	childs feces from before 1986	NULL	NULL	AIOO	Campylobacter jejuni subsp. jejuni LMG 9217	NULL	197	NULL	NULL	LMG 9217	jejuni	PDT000009514.2	2012-10-02	889249	AIOO	AIOO00000000.1
PDT000009515.2|SAMN02429046|GCA_000254595.2|Campylobacter jejuni subsp. jejuni 2008-1025|||2008-1025|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254595.2	ASM25459v2	Contig	58613	1661042	139	Velvet v. 2009	Generic	PRJNA52925	SAMN02429046	NULL	NULL	1	436928	France	Homo sapiens	NULL	male born May 30, 2005	NULL	NULL	AIOP	Campylobacter jejuni subsp. jejuni 2008-1025	NULL	197	NULL	NULL	2008-1025	NULL	PDT000009515.2	2012-10-02	889250	AIOP	AIOP00000000.1
PDT000009516.2|SAMN02429047|GCA_000254615.2|Campylobacter jejuni subsp. jejuni 2008-894|||2008-894|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254615.2	ASM25461v2	Contig	56181	1627929	116	Velvet v. 2009	Generic	PRJNA52927	SAMN02429047	NULL	NULL	1	436948	France	Homo sapiens	NULL	29 year old male	NULL	NULL	AIOQ	Campylobacter jejuni subsp. jejuni 2008-894	NULL	197	NULL	NULL	2008-894	NULL	PDT000009516.2	2012-10-02	889251	AIOQ	AIOQ00000000.1
PDT000009517.2|SAMN02428948|GCA_000254635.2|Campylobacter jejuni subsp. jejuni 2008-872|||2008-872|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254635.2	ASM25463v2	Contig	31036	1602313	114	Velvet v. 2009	Generic	PRJNA52929	SAMN02428948	NULL	NULL	1	436968	France	Homo sapiens	NULL	male born February 1932	NULL	NULL	AIOR	Campylobacter jejuni subsp. jejuni 2008-872	NULL	197	NULL	NULL	2008-872	NULL	PDT000009517.2	2012-10-02	889252	AIOR	AIOR00000000.1
PDT000009518.2|SAMN02428949|GCA_000254655.2|Campylobacter jejuni subsp. jejuni 2008-988|||2008-988|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254655.2	ASM25465v2	Contig	27985	1820783	206	Velvet v. 2009	Generic	PRJNA52931	SAMN02428949	NULL	NULL	1	436988	France	Homo sapiens	NULL	male born April 1935	NULL	NULL	AIOS	Campylobacter jejuni subsp. jejuni 2008-988	NULL	197	NULL	NULL	2008-988	NULL	PDT000009518.2	2012-10-02	889253	AIOS	AIOS00000000.1
PDT000009519.2|SAMN02428963|GCA_000254675.2|Campylobacter jejuni subsp. jejuni 1997-1|||1997-1|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254675.2	ASM25467v2	Contig	58178	1604303	112	Velvet v. 2009	Generic	PRJNA52867	SAMN02428963	NULL	NULL	1	437008	USA	Homo sapiens	NULL	NULL	NULL	NULL	AIOT	Campylobacter jejuni subsp. jejuni 1997-1	NULL	197	NULL	NULL	1997-1	NULL	PDT000009519.2	2012-10-02	889221	AIOT	AIOT00000000.1
PDT000009520.2|SAMN02428950|GCA_000254695.2|Campylobacter jejuni subsp. jejuni 2008-979|||2008-979|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254695.2	ASM25469v2	Contig	35312	1798433	217	Velvet v. 2009	Generic	PRJNA52933	SAMN02428950	NULL	NULL	1	437028	France	Homo sapiens	NULL	45 year old male	NULL	NULL	AIOU	Campylobacter jejuni subsp. jejuni 2008-979	NULL	197	NULL	NULL	2008-979	NULL	PDT000009520.2	2012-10-02	889254	AIOU	AIOU00000000.1
PDT000009521.2|SAMN02429048|GCA_000254715.2|Campylobacter jejuni subsp. jejuni 2008-831|||2008-831|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254715.2	ASM25471v2	Contig	43517	1609412	120	Velvet v. 2009	Generic	PRJNA52935	SAMN02429048	NULL	NULL	1	437048	France	Homo sapiens	NULL	male born March 1996	NULL	NULL	AIOV	Campylobacter jejuni subsp. jejuni 2008-831	NULL	197	NULL	NULL	2008-831	NULL	PDT000009521.2	2012-10-02	889255	AIOV	AIOV00000000.1
PDT000009522.2|SAMN02429049|GCA_000254735.2|Campylobacter jejuni subsp. jejuni 1997-4|||1997-4|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254735.2	ASM25473v2	Contig	35311	1670223	129	Velvet v. 2009	Generic	PRJNA52869	SAMN02429049	NULL	NULL	1	437068	USA	Homo sapiens	NULL	NULL	NULL	NULL	AIOW	Campylobacter jejuni subsp. jejuni 1997-4	NULL	197	NULL	NULL	1997-4	NULL	PDT000009522.2	2012-10-02	889222	AIOW	AIOW00000000.1
PDT000009523.2|SAMN02429050|GCA_000254755.2|Campylobacter jejuni subsp. jejuni 1997-7|||1997-7|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254755.2	ASM25475v2	Contig	51781	1589764	76	Velvet v. 2009	Generic	PRJNA52871	SAMN02429050	NULL	NULL	1	437088	USA	Homo sapiens	NULL	NULL	NULL	NULL	AIOX	Campylobacter jejuni subsp. jejuni 1997-7	NULL	197	NULL	NULL	1997-7	NULL	PDT000009523.2	2012-10-02	889223	AIOX	AIOX00000000.1
PDT000009524.2|SAMN02429013|GCA_000254775.2|Campylobacter jejuni subsp. jejuni 1997-10|||1997-10|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254775.2	ASM25477v2	Contig	31889	1780746	193	Velvet v. 2009	Generic	PRJNA52873	SAMN02429013	NULL	NULL	1	437108	USA	Homo sapiens	NULL	NULL	NULL	NULL	AIOY	Campylobacter jejuni subsp. jejuni 1997-10	NULL	197	NULL	NULL	1997-10	NULL	PDT000009524.2	2012-10-02	889224	AIOY	AIOY00000000.1
PDT000009525.2|SAMN02429014|GCA_000254795.2|Campylobacter jejuni subsp. jejuni 1997-11|||1997-11|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254795.2	ASM25479v2	Contig	35325	1601760	115	Velvet v. 2009	Generic	PRJNA52875	SAMN02429014	NULL	NULL	1	437148	USA	Homo sapiens	NULL	NULL	NULL	NULL	AIOZ	Campylobacter jejuni subsp. jejuni 1997-11	NULL	197	NULL	NULL	1997-11	NULL	PDT000009525.2	2012-10-02	889225	AIOZ	AIOZ00000000.1
PDT000009526.2|SAMN02429015|GCA_000254815.2|Campylobacter jejuni subsp. jejuni 1997-14|||1997-14|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254815.2	ASM25481v2	Contig	28763	1766943	196	Velvet v. 2009	Generic	PRJNA52877	SAMN02429015	NULL	NULL	1	437168	USA	Homo sapiens	NULL	NULL	NULL	NULL	AIPA	Campylobacter jejuni subsp. jejuni 1997-14	NULL	197	NULL	NULL	1997-14	NULL	PDT000009526.2	2012-10-02	889226	AIPA	AIPA00000000.1
PDT000009527.2|SAMN02429016|GCA_000254835.2|Campylobacter jejuni subsp. jejuni 51037|||51037|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254835.2	ASM25483v2	Contig	28996	1747358	207	Velvet v. 2009	Generic	PRJNA52879	SAMN02429016	NULL	NULL	1	437208	USA	chicken	NULL	NULL	NULL	NULL	AIPB	Campylobacter jejuni subsp. jejuni 51037	NULL	197	NULL	NULL	51037	NULL	PDT000009527.2	2012-10-02	889227	AIPB	AIPB00000000.1
PDT000009528.2|SAMN02428995|GCA_000254855.2|Campylobacter jejuni subsp. jejuni 110-21|||110-21|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254855.2	ASM25485v2	Contig	43776	1619234	113	Velvet v. 2009	Generic	PRJNA52849	SAMN02428995	NULL	NULL	1	437228	USA	bovine	NULL	NULL	NULL	NULL	AIPC	Campylobacter jejuni subsp. jejuni 110-21	NULL	197	NULL	NULL	110-21	NULL	PDT000009528.2	2012-10-02	889214	AIPC	AIPC00000000.1
PDT000009529.2|SAMN02428964|GCA_000254875.2|Campylobacter jejuni subsp. jejuni 87330|||87330|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000254875.2	ASM25487v2	Contig	51817	1610401	107	Velvet v. 2009	Generic	PRJNA52881	SAMN02428964	NULL	NULL	1	437258	USA	chicken	NULL	NULL	NULL	NULL	AIPD	Campylobacter jejuni subsp. jejuni 87330	NULL	197	NULL	NULL	87330	NULL	PDT000009529.2	2012-10-02	889228	AIPD	AIPD00000000.1
